<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	08:45:00	2636.196	2637.842	2635.367	2636.432	1466	0	160
2025.01.02	09:00:00	2636.417	2639.890	2636.417	2638.210	2007	0	159
2025.01.02	09:15:00	2638.196	2639.978	2637.266	2637.428	1739	0	159
2025.01.02	09:30:00	2637.471	2638.385	2636.637	2637.169	1315	0	159
2025.01.02	09:45:00	2637.108	2637.983	2635.901	2636.139	1309	0	159
2025.01.02	10:00:00	2636.128	2638.986	2632.744	2638.908	1649	0	159
2025.01.02	10:15:00	2638.912	2646.379	2638.083	2644.753	2866	0	159
2025.01.02	10:30:00	2644.723	2645.719	2643.146	2644.025	2051	0	159
2025.01.02	10:45:00	2644.017	2644.177	2640.492	2642.691	2410	0	159
2025.01.02	11:00:00	2642.701	2644.692	2642.391	2644.224	1595	0	159
2025.01.02	11:15:00	2644.216	2644.474	2640.444	2641.764	1491	0	159
2025.01.02	11:30:00	2641.874	2642.851	2640.255	2642.061	1350	0	159
2025.01.02	11:45:00	2642.075	2642.625	2641.182	2641.976	1287	0	160
2025.01.02	12:00:00	2641.977	2642.867	2640.305	2641.039	1508	0	159
2025.01.02	12:15:00	2641.042	2643.143	2640.532	2642.666	1285	0	160
2025.01.02	12:30:00	2642.659	2645.283	2642.158	2644.207	1769	0	159
2025.01.02	12:45:00	2644.260	2646.482	2642.846	2643.446	1735	0	159
2025.01.02	13:00:00	2643.336	2643.342	2638.401	2638.543	3463	0	159
2025.01.02	13:15:00	2638.567	2641.021	2636.046	2640.889	2988	0	159
2025.01.02	13:30:00	2640.932	2641.020	2637.006	2639.133	3578	0	159
2025.01.02	13:45:00	2639.079	2647.333	2638.164	2643.006	3457	0	159
2025.01.02	14:00:00	2642.964	2646.941	2640.361	2646.856	3397	0	159
2025.01.02	14:15:00	2646.803	2649.069	2646.132	2646.326	3277	0	159
2025.01.02	14:30:00	2646.280	2650.112	2646.155	2649.052	4294	0	159
2025.01.02	14:45:00	2649.003	2651.066	2646.928	2647.518	3540	0	159
2025.01.02	15:00:00	2647.482	2649.684	2645.187	2648.549	3633	0	159
2025.01.02	15:15:00	2648.589	2649.660	2647.550	2648.751	2823	0	159
2025.01.02	15:30:00	2648.711	2653.618	2648.371	2651.957	3210	0	159
2025.01.02	15:45:00	2651.923	2655.876	2651.434	2654.110	2757	0	159
2025.01.02	16:00:00	2654.062	2654.465	2650.035	2653.580	3464	0	159
2025.01.02	16:15:00	2653.547	2657.990	2653.313	2656.686	2777	0	159
2025.01.02	16:30:00	2656.706	2658.498	2654.828	2657.423	2404	0	159
2025.01.02	16:45:00	2657.386	2660.441	2657.381	2659.284	2072	0	160
2025.01.02	17:00:00	2659.326	2660.457	2658.089	2659.015	1939	0	159
2025.01.02	17:15:00	2658.981	2659.966	2656.018	2656.402	1952	0	159
2025.01.02	17:30:00	2656.445	2656.605	2652.970	2653.706	2329	0	160
2025.01.02	17:45:00	2653.809	2656.668	2652.515	2656.471	1827	0	160
2025.01.02	18:00:00	2656.477	2658.774	2655.842	2656.672	2052	0	159
2025.01.02	18:15:00	2656.686	2658.133	2654.921	2654.921	2293	0	159
2025.01.02	18:30:00	2654.966	2656.121	2653.769	2655.777	1773	0	159
2025.01.02	18:45:00	2655.816	2656.129	2654.697	2655.483	1539	0	160
2025.01.02	19:00:00	2655.524	2655.912	2654.301	2654.581	1388	0	159
2025.01.02	19:15:00	2654.563	2656.141	2653.805	2655.520	1612	0	160
